shp_s,shp_p,shp_i,x,y,objectid,lsoa11cd,lsoa11nm,lsoa11nmw,st_areasha,st_lengths,lon,lat
7841,0,26,433047.1033260261,385050.89835239813,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5048917141637153,53.361305836956895
7841,0,27,433015.21744708647,385071.34011989663,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5053686908634663,53.36149155856399
7841,0,28,432991.0325833372,385128.3619867838,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5057261558074635,53.36200559161016
7841,0,29,433005.18769234495,385268.78524024575,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5054988586877749,53.36326687449793
7841,0,30,433215.0521976896,385386.97896552755,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5023330102177668,53.3643161331486
7841,0,31,433171.05340230424,385450.9786846656,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5029874724278103,53.36489413326655
7841,0,32,433193.97836646857,385478.2068820036,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.502640134507806,53.36513743359411
7841,0,33,433229.5053228573,385529.68819335074,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.50210088246339,53.365597937108966
7841,0,34,433246.50240778056,385642.9874127286,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5018335932066034,53.36661523583225
7841,0,35,433219.2185119515,385664.911228065,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5022413042378033,53.366814002441856
7841,0,36,433202.52449874167,385612.8080603131,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.502497626381853,53.366346730451156
7841,0,37,433036.4208716279,385517.0467267367,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5050036926441248,53.36549637296526
7841,0,38,433031.6008822189,385513.894687265,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.505076450960916,53.365468341743416
7841,0,39,433035.52891002595,385549.4817519377,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5050137189638026,53.36578796339537
7841,0,40,433003.8700461526,385589.9295548559,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5054852535984318,53.36615349008484
7841,0,41,432965.99713540054,385571.23125196534,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5060563229269608,53.36598777974243
7841,0,42,432949.2632438993,385627.295185706,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5063019642400612,53.36649273749018
7841,0,43,433215.2447802484,385734.5791787565,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5022937252111868,53.36744044548418
7841,0,44,433237.7825098625,385749.62533652084,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5019534582009944,53.36757427248243
7841,0,45,433236.05262202636,385741.97932840325,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5019802556053268,53.36750565652716
7842,0,0,433985.8598573363,385903.07733726467,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4906951046399741,53.36890612853211
7842,0,1,434060.45193394885,385801.0570442837,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.489585075016597,53.367984359330244
7842,0,2,434109.87580240075,385718.69253081974,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4888511961877262,53.36724087012128
7842,0,3,434126.7640868705,385543.9868801937,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4886162002748602,53.36566948565784
7842,0,4,434134.16506401746,385530.2159612943,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4885064670585617,53.365545232923246
7842,0,5,434149.159007416,385466.4911736278,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4882880123181221,53.36497149334299
7842,0,6,434198.3688854558,385453.92762389715,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4875498990056446,53.3648553983474
7842,0,7,434177.88692579506,385421.97748694307,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.487861118720011,53.36456954272125
7842,0,8,434209.79084892396,385416.5597785289,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4873822931663219,53.36451879020175
7842,0,9,434254.2947276851,385335.64130012784,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.486722285485035,53.363788602337856
7842,0,10,434248.4247275142,385269.5153479279,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4868176283794898,53.363194624696185
7842,0,11,434307.1685930211,385238.85894296406,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4859382470810112,53.362915280962945
7842,0,12,434317.58555961977,385159.9331737517,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4857902572777315,53.362205202428036
7842,0,13,434292.0506088056,385131.98897623195,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.486176961282896,53.36195568433234
