shp_s,shp_p,shp_i,x,y,objectid,lsoa11cd,lsoa11nm,lsoa11nmw,st_areasha,st_lengths
7634,0,40,434731.84533321345,382487.43360077747,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,41,434677.07644795126,382479.4170617586,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,42,434644.1534993379,382537.5335411325,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,43,434734.18230146094,382584.00631787896,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,44,434751.14825460006,382627.1323539838,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,45,434822.351147005,382488.2455303843,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,46,434901.4910030095,382421.6105645439,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,47,435411.0488874262,382657.0079788536,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,48,435491.04876622156,382501.00936687895,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,49,435779.0539037034,382602.0112153448,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,50,435826.33583726274,382674.93530351453,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,51,435914.54045865213,382519.1055433359,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7635,0,0,434242.6973232753,382602.3261396904,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,1,434283.68724672694,382538.940768929,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
